citation,cruise_name,broad_ocean,ocean_region,Lat_dd_N,Lon_dd_W,depth_m,link_to_citation,key_words,,other_notes
Williams et al. 2012,,Southern Ocean,Western Antarctic Peninsula,-64.77,-64.05,60 and 6,https://www.nature.com/articles/ismej201228,,,"no coordinates in paper, inferred roughly from locations mentioned (Palmer Station B)"
Debeljak et al. 2023,SOCLIM and MOBYDICK,Southern Ocean,Southern Ocean,-50.06667,68.41667,10,https://link.springer.com/article/10.1186/s40168-023-01600-3,,,KERFIX
Debeljak et al. 2023,SOCLIM and MOBYDICK,Southern Ocean,Southern Ocean,-50.6333,72.0333,10,https://link.springer.com/article/10.1186/s40168-023-01600-3,,,Kerguelen A3
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,5.90083,93.81722,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,5.00111,89.55222,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,4.1525,85.51889,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,3.3,81.51722,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,2.28556,76.75028,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,1.70222,72.86722,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,3.05028,66.60222,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,3.7,63.81667,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,9.40028,59.81722,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,13.43417,56.08583,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Xie et al. 2022,COMRA ,Indian Ocean,Indian Ocean,13.61694,54.23583,5,https://link.springer.com/article/10.1007/s42995-021-00119-6,,,
Zhao et al. 2024,,Southern Ocean,Southern Ocean,-50.68348,68.0621,1500,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Southern Ocean,Southern Ocean,-50.61604,72.00106,400,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Southern Ocean,Southern Ocean,-52.6003,67.1997,3500,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Pacific,West Pacific Ocean,0,180,100,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Pacific,West Pacific Ocean,50,179.55,500,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Pacific,West Pacific Ocean,45,178.75,2000,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
