publication_date,citation,ocean_region,Lat,Lon,depth_m,notes,,,,
2024,Zhao et al. 2024,Southern Ocean,-50.68348,68.0621,1500,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,Southern Ocean,-50.61604,72.00106,400,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,Southern Ocean,-52.6003,67.1997,3500,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,West Pacific Ocean,0,180,100,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,West Pacific Ocean,50,179.55,500,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,West Pacific Ocean,45,178.75,2000,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,West Pacific Ocean,-10.33,-176.48,2000,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,North Pacific Ocean,45,-126,2000,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,North Pacific Ocean,45,-129,200,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
2024,Zhao et al. 2024,North Pacific Ocean,45,-134,600,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf,,,,
